step,official_tdmpc2_mean_reward,abstraction_compile_reward,delta,seed
0,5.2,9.1,3.9,1
100000,179.1,374.9,195.8,1
200000,296.3,390.6,94.3,1
300000,346.9,564.7,217.8,1
