step,official_tdmpc2_mean_reward,abstraction_compile_reward,delta,seed
0,5.2,8.6,3.4,1
100000,179.1,112.0,-67.1,1
200000,296.3,285.7,-10.6,1
300000,346.9,447.8,100.9,1
400000,322.0,497.6,175.6,1
500000,361.1,651.4,290.3,1
600000,352.1,536.7,184.6,1
700000,466.1,622.9,156.8,1
800000,506.7,501.9,-4.8,1
900000,440.2,692.2,252.0,1
1000000,517.9,479.2,-38.7,1
1100000,458.6,558.9,100.3,1
1200000,507.8,633.3,125.5,1
1300000,518.5,501.9,-16.6,1
1400000,536.2,507.5,-28.7,1
1500000,548.9,436.9,-112.0,1
1600000,529.6,517.6,-12.0,1
1700000,576.5,610.3,33.8,1
1800000,523.1,664.4,141.3,1
1900000,533.1,551.4,18.3,1
2000000,610.6,655.4,44.8,1
2100000,578.9,593.5,14.6,1
2200000,580.8,537.3,-43.5,1
2300000,483.4,608.2,124.8,1
2400000,534.1,694.4,160.3,1
2500000,506.4,668.5,162.1,1
2600000,569.5,645.7,76.2,1
2700000,541.3,703.4,162.1,1
2800000,557.0,709.8,152.8,1
2900000,542.9,553.7,10.8,1
3000000,538.2,730.9,192.7,1
3100000,557.3,666.6,109.3,1
3200000,546.9,604.6,57.7,1
3300000,529.3,546.4,17.1,1
3400000,551.4,601.9,50.5,1
3500000,573.1,708.1,135.0,1
3600000,552.1,605.7,53.6,1
3700000,539.3,385.9,-153.4,1
3800000,638.8,563.2,-75.6,1
3900000,624.4,549.6,-74.8,1
4000000,662.9,643.4,-19.5,1
